id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
102182,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,JURAMENTO 2971,-34.5651,-58.462056,Juramento,Supermercado
102184,10,2,MARKET,INC S.A.,AR-L,SANTA ROSA,SPINETTO 1230,-36.604293,-64.280899,Santa Rosa II,Supermercado
102187,10,2,MARKET,INC S.A.,AR-B,ESCOBAR,GELVES 530,-34.344292,-58.78936899999999,Escobar,Supermercado
102189,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. CORRIENTES 1160,-34.603902000000005,-58.383077,Av. Corrientes,Supermercado
102191,10,2,MARKET,INC S.A.,AR-B,MAR DEL PLATA,CORDOBA 1830,-38.000667,-57.547721,Mar del Plata III,Supermercado
102195,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,OLAZABAL 4734,-34.574379,-58.482128,Olazabal,Supermercado
102198,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. CABILDO 3190,-34.553168,-58.46576999999999,Núñez,Supermercado
102201,10,2,MARKET,INC S.A.,AR-B,CARAPACHAY,INDEPENDENCIA 3067,-34.527628,-58.535824,Carapachay,Supermercado
102202,10,2,MARKET,INC S.A.,AR-B,SAN ISIDRO,AV. JUAN SEGUNDO FERNANDEZ 1235,-34.480984,-58.553074,San Isidro La Florida,Supermercado
102203,10,2,MARKET,INC S.A.,AR-B,CHILAVERT,LACROZE 5910,-34.541198,-58.563095,Chilavert,Supermercado
102205,10,2,MARKET,INC S.A.,AR-B,CIUDAD JARDIN DEL PALOMAR,DE LOS CEIBOS 233,-34.603431,-58.592464,Palomar,Supermercado
102206,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,BERUTI 2951,-34.590140000000005,-58.405533,Barrio Norte,Hipermercado
102208,10,2,MARKET,INC S.A.,AR-B,CAMPANA,AV. MITRE 1085,-34.162738,-58.965513,Campana Centro,Supermercado
102209,10,2,MARKET,INC S.A.,AR-B,MARTINEZ,AV. DEL LIBERTADOR 13060,-34.49027,-58.484964,Martinez (Libertador),Supermercado
102211,10,2,MARKET,INC S.A.,AR-B,MARTINEZ,SAENZ VALIENTE 206,-34.487198,-58.505871,Martínez (Italia),Hipermercado
102212,10,2,MARKET,INC S.A.,AR-B,VILLA BALLESTER,AMERICA 4006,-34.55729,-58.550437,Malaver - Villa Ballester,Supermercado
102215,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. RAUL SCALABRINI ORTIZ 3128,-34.58052,-58.410332,Palermo Canning,Supermercado
102216,10,2,MARKET,INC S.A.,AR-B,VICENTE LOPEZ,AV. MAIPU 940,-34.529452,-58.48077900000001,Vicente López - Maipú,Hipermercado
102218,10,2,MARKET,INC S.A.,AR-B,HURLINGHAM,AV. VERGARA 4121,-34.591972,-58.636447,Hurlingham,Hipermercado
102221,10,2,MARKET,INC S.A.,AR-B,TIGRE,ALMIRANTE BROWN 371,-34.433161,-58.565723,Tigre,Supermercado
102226,10,2,MARKET,INC S.A.,AR-B,MARTINEZ,SANTA FE 2349,-34.492689,-58.499192,Martínez (Edison),Supermercado
102228,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. ELCANO 3380,-34.575419000000004,-58.45973100000001,Colegiales (Elcano),Hipermercado
102237,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. NAZCA 2951,-34.602094,-58.489299,Villa del Parque,Supermercado
102243,10,2,MARKET,INC S.A.,AR-E,PARANA,SAN JUAN 609,-31.726740000000003,-60.524157,Paraná (San Juan),Supermercado
102244,10,2,MARKET,INC S.A.,AR-E,PARANA,HIPOLITO YRIGOYEN 223,-31.737845,-60.52474100000001,Paraná (Yrigoyen),Supermercado
102249,10,2,MARKET,INC S.A.,AR-E,PARANA,AV. DE LAS AMERICAS 1731,-31.748447,-60.52494599999999,Paraná (Avenida de las Américas),Supermercado
102252,10,2,MARKET,INC S.A.,AR-B,ACASSUSO,AV. DEL LIBERTADOR 14893,-34.476587,-58.497758,Acassuso,Supermercado
102253,10,2,MARKET,INC S.A.,AR-B,OLIVOS,AV. MAIPU 3393,-34.504534,-58.49384300000001,Olivos (Maipú),Supermercado
